#Vectors of best individual in population (training set, last column is label), comma separated
2.72182,0,0,0.0219387,2.27873,2.9434,0.383985,0,2.77787,0,0,0,0,2.40613,0,2.66375,0,0,0,0,0,0,0,0.458448,0,0,0,2.61144,0,0,0,0,1
1.98998,0,0,1.79172,1.93569,2.32967,1.79303,0,2.25125,0,0,0,1.74279,1.56215,0,2.20544,0,1.24718,0,0,0,1.81373,0,2.20162,0,0,1.5883,2.13526,0,0,0.353689,0,0
0.068515,0,0,3.03514,0.194375,0.732967,2.15507,0.132819,0.138815,0,0.107865,0.0127644,3.10938,0,0,0,0,2.77987,0.0231036,0.0437088,1.86773,3.00224,0.0992558,2.93044,0.108298,0.0429449,3.13234,1.21227,0,0.0271252,3.08595,0.00784182,0
3.2042,0,0,1.53189,2.01061,2.54207,1.57799,0,3.47124,0,0,0,1.14112,2.73366,0,3.10436,0,0.849987,0,0,0,1.15979,0,1.78716,0,0,1.42902,3.10781,0,0,0,0,0
0,4.0974,4.30113,0,0,0,0,4.07073,0,4.10964,4.31521,4.23763,0,0,3.8859,0,4.05309,0,4.08702,4.02728,0,0,4.24823,0,4.18952,4.33311,0,0,4.0189,4.17617,3.84441,4.32657,1
0,3.96006,4.11319,0,0,0,0,3.76957,0,3.85173,4.0727,4.09415,0,0,3.82284,0,3.91243,0,3.81694,3.84687,0.911717,0,4.01743,0,4.02072,4.0528,0,0,3.84608,4.04522,0.124107,3.98817,1
0,3.84454,4.01998,0,0,0,0,3.83885,0,3.7911,4.01656,3.94949,0,0,3.88666,0,3.89519,0,3.77353,3.82718,0.303994,0,3.84432,0,3.9779,3.93192,0,0,3.92524,4.04495,0.252612,3.97472,1
0,0,0,2.1965,0.448796,0.648834,1.80834,0,0.3261,0,0,0,2.41815,0,0,0.387951,0,1.68364,0,0,0.536407,2.39687,0,2.32057,0,0,1.98478,0.531833,0,0,0,0,0
3.71103,0,0,0.503653,3.41093,4.35971,0.558982,0,3.72188,0,0,0,0.150627,3.75473,0,3.66392,0,0,0,0,0,0.507724,0,0.948245,0,0,0.184394,4.14989,0,0,0,0,0
3.2506,0,0,0,2.62737,3.5441,0.0434177,0,3.12958,0,0,0,0,3.02433,0,2.80491,0,0,0,0,0,0,0,0.0218537,0,0,0,3.11168,0,0,0,0,0
2.51294,0,0,1.6622,2.39413,2.60026,1.17052,0,2.79948,0,0,0,1.19371,2.62871,0,2.84926,0,0.537048,0,0,0,1.51497,0,1.80746,0,0,0.903094,2.75593,0,0,1.28043,0,0
0,0,0,2.51455,0,0,2.63167,0,0,0,0,0,3.25157,0,0,0,0,2.93143,0,0,3.19302,2.59197,0,2.84314,0,0,2.76496,0,0,0,1.75309,0,0
0,1.33315,1.36333,0,0,0,0,1.28158,0,1.35726,1.41062,1.33005,0,0,1.34693,0,1.34245,0,1.32951,1.23998,0,0,1.4051,0,1.36118,1.36535,0,0,1.32736,1.3803,0,1.41957,1
0,2.97025,3.08133,0,0,0,0,2.92275,0,2.90706,3.06134,3.05482,0,0.359623,2.94161,0,3.01171,0,2.86533,2.92544,3.36632,0,3.03288,0,3.05118,3.02345,0,0,3.02561,3.23401,0,3.03095,1
0,2.80413,2.96305,0,0,0,0,2.7005,0,2.68676,2.87622,2.82429,0,0,2.54141,0,2.77126,0,2.68488,2.62503,0,0,2.90464,0,2.83373,2.94718,0,0,2.79947,2.9845,0,2.9107,1
0,1.94267,2.09849,0,0,0,0,2.02798,0,1.96656,2.09097,2.02193,0,0,1.83304,0,1.91082,0,1.98864,1.90158,0,0,2.17628,0,2.02017,2.11831,0,0,2.08436,2.10443,0,2.13197,1
