0	Memetic	0	10	10607	0.978767	0.975465	9	8.400000	0.978767	0.975465	0.777864	1.000000	10	1322.709000	1178.347900	2495.927000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
1	Memetic	0	10	10607	0.972881	0.975465	7	8.400000	0.972881	0.975465	0.777864	1.000000	10	1163.163000	1178.347900	2190.736000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
2	Memetic	0	10	10607	0.969682	0.975465	7	8.400000	0.969682	0.975465	0.777864	1.000000	10	806.641000	1178.347900	1528.795000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
3	Memetic	0	10	10607	0.981561	0.975465	8	8.400000	0.981561	0.975465	0.777864	1.000000	10	1224.135000	1178.347900	2370.685000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
4	Memetic	0	10	10607	0.978997	0.975465	10	8.400000	0.978997	0.975465	0.777864	1.000000	10	1387.504000	1178.347900	2597.951000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
5	Memetic	0	10	10607	0.980793	0.975465	12	8.400000	0.980793	0.975465	0.777864	1.000000	10	1008.696000	1178.347900	1933.359000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
6	Memetic	0	10	10607	0.969671	0.975465	6	8.400000	0.969671	0.975465	0.777864	1.000000	10	1079.249000	1178.347900	2079.705000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
7	Memetic	0	10	10607	0.980380	0.975465	11	8.400000	0.980380	0.975465	0.777864	1.000000	10	1446.442000	1178.347900	2778.378000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
8	Memetic	0	10	10607	0.976957	0.975465	8	8.400000	0.976957	0.975465	0.777864	1.000000	10	1246.905000	1178.347900	2370.524000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
9	Memetic	0	10	10607	0.964959	0.975465	6	8.400000	0.964959	0.975465	0.777864	1.000000	10	1098.035000	1178.347900	2123.612000	2246.967200	0.954058	32	16	254623	7567	264443	17428	
0	Memetic	1	10	22466	0.978133	0.979704	9	9.200000	0.978133	0.979704	0.777864	1.000000	8	1344.323000	1244.112300	2484.699000	2391.619100	0.954058	32	16	254623	7567	264443	17428	
1	Memetic	1	10	22466	0.978767	0.979704	9	9.200000	0.978767	0.979704	0.777864	1.000000	8	1322.709000	1244.112300	2523.411000	2391.619100	0.954058	32	16	254623	7567	264443	17428	
2	Memetic	1	10	22466	0.978767	0.979704	9	9.200000	0.978767	0.979704	0.777864	1.000000	8	1302.532000	1244.112300	1863.534000	2391.619100	0.954058	32	16	254623	7567	264443	17428	
3	Memetic	1	10	22466	0.978997	0.979704	10	9.200000	0.978997	0.979704	0.777864	1.000000	8	1387.504000	1244.112300	2609.246000	2391.619100	0.954058	32	16	254623	7567	264443	17428	
